Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNegativeMandatory,Chrome 142.0.7444.176,,,27-11-2025 20:53:31,27-11-2025 21:02:05,"8m - 34,350s",PASSED
,,,,,,,
Test Cases/Negative/Case01-2-N2 Alert Notification For Mandatory Field On First Name Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 20:53:32,27-11-2025 20:54:04,"31,849s",PASSED
"DATA BINDING - {""(Default) First..."":""""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 20:53:32,27-11-2025 20:53:35,"3,029s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 20:53:35,27-11-2025 20:53:43,"8,211s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 20:53:43,27-11-2025 20:53:43,"0,068s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:43,27-11-2025 20:53:46,"2,038s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_Name_firstName""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:53:46,27-11-2025 20:53:46,"0,338s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_Name_firstName""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:53:46,27-11-2025 20:53:46,"0,311s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:46,27-11-2025 20:53:48,"2,015s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_Name_firstName""), Firstname)",Chrome 142.0.7444.176,,,27-11-2025 20:53:48,27-11-2025 20:53:49,"0,945s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:49,27-11-2025 20:53:51,"2,018s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:53:51,27-11-2025 20:53:51,"0,262s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:51,27-11-2025 20:53:53,"2,021s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 20:53:53,27-11-2025 20:53:54,"0,285s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:54,27-11-2025 20:53:56,"2,009s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:53:56,27-11-2025 20:53:56,"0,272s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:56,27-11-2025 20:53:58,"2,019s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 20:53:58,27-11-2025 20:53:58,"0,365s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:53:58,27-11-2025 20:54:00,"2,016s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_Name_firstName""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:54:00,27-11-2025 20:54:01,"0,254s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:01,27-11-2025 20:54:03,"2,007s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_Name_firstName""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:54:03,27-11-2025 20:54:03,"0,250s",PASSED
"click(findTestObject(""Page_DEMOQA/input_Name_firstName""))",Chrome 142.0.7444.176,,,27-11-2025 20:54:03,27-11-2025 20:54:03,"0,352s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Firstname_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:54:03,27-11-2025 20:54:04,"0,236s",PASSED
,,,,,,,
Test Cases/Negative/Case01-2-N2 Alert Notification For Mandatory Field On First Name Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 20:54:04,27-11-2025 20:54:31,"27,415s",PASSED
"DATA BINDING - {""(Default) First..."":""""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 20:54:04,27-11-2025 20:54:05,"0,991s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 20:54:05,27-11-2025 20:54:11,"6,850s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 20:54:11,27-11-2025 20:54:11,"0,034s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:11,27-11-2025 20:54:13,"2,012s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_Name_firstName""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:54:13,27-11-2025 20:54:14,"0,258s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_Name_firstName""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:54:14,27-11-2025 20:54:14,"0,250s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:14,27-11-2025 20:54:16,"2,013s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_Name_firstName""), Firstname)",Chrome 142.0.7444.176,,,27-11-2025 20:54:16,27-11-2025 20:54:17,"0,673s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:17,27-11-2025 20:54:19,"2,014s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:54:19,27-11-2025 20:54:19,"0,241s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:19,27-11-2025 20:54:21,"2,017s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 20:54:21,27-11-2025 20:54:21,"0,266s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:21,27-11-2025 20:54:23,"2,015s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 20:54:23,27-11-2025 20:54:23,"0,264s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:23,27-11-2025 20:54:25,"2,009s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 20:54:25,27-11-2025 20:54:26,"0,358s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:26,27-11-2025 20:54:28,"2,010s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/input_Name_firstName""), 0)",Chrome 142.0.7444.176,,,27-11-2025 20:54:28,27-11-2025 20:54:28,"0,259s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 20:54:28,27-11-2025 20:54:30,"2,006s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_Name_firstName""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:54:30,27-11-2025 20:54:30,"0,256s",PASSED
"click(findTestObject(""Page_DEMOQA/input_Name_firstName""))",Chrome 142.0.7444.176,,,27-11-2025 20:54:30,27-11-2025 20:54:31,"0,339s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/class_Firstname_Invalid""), 8)",Chrome 142.0.7444.176,,,27-11-2025 20:54:31,27-11-2025 20:54:31,"0,255s",PASSED
,,,,,,,
