Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormMinLengthMobileNumber,Chrome 142.0.7444.176,,,27-11-2025 21:54:56,27-11-2025 21:57:04,"2m - 8,227s",PASSED
,,,,,,,
Test Cases/Negative/Case01-6-N6 Alert Notification For Min Length On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 21:54:57,27-11-2025 21:56:05,"1m - 8,253s",PASSED
"DATA BINDING - {""MobileNumber"":""1234567""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 21:54:57,27-11-2025 21:55:00,"2,717s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 21:55:00,27-11-2025 21:55:45,"44,947s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 21:55:45,27-11-2025 21:55:45,"0,054s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:55:45,27-11-2025 21:55:47,"2,039s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 21:55:47,27-11-2025 21:55:48,"0,373s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 21:55:48,27-11-2025 21:55:48,"0,303s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:55:48,27-11-2025 21:55:50,"2,019s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 21:55:50,27-11-2025 21:55:51,"0,765s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 21:55:51,27-11-2025 21:55:53,"2,013s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 21:55:53,27-11-2025 21:55:53,"0,273s",PASSED
