Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TSPracticeFormNumericalOnly,Chrome 142.0.7444.176,,,27-11-2025 22:23:34,27-11-2025 22:28:02,"4m - 28,645s",PASSED
,,,,,,,
Test Cases/Negative/Case01-7-N7 Alert Notification For Numerical Only On Mobile Number Field,Chrome 142.0.7444.176,Sebagai Sample,,27-11-2025 22:23:36,27-11-2025 22:24:11,"35,315s",PASSED
"DATA BINDING - {""MobileNumber"":""+624567891""}",,,,,,,
"openBrowser("""")",Chrome 142.0.7444.176,,,27-11-2025 22:23:37,27-11-2025 22:23:40,"3,559s",PASSED
"navigateToUrl(""https://demoqa.com/automation-practice-form"")",Chrome 142.0.7444.176,,,27-11-2025 22:23:40,27-11-2025 22:23:50,"9,600s",PASSED
maximizeWindow(),Chrome 142.0.7444.176,,,27-11-2025 22:23:50,27-11-2025 22:23:50,"0,139s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:23:50,27-11-2025 22:23:52,"2,092s",PASSED
"verifyElementPresent(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), 8)",Chrome 142.0.7444.176,,,27-11-2025 22:23:52,27-11-2025 22:23:53,"0,572s",PASSED
"verifyElementVisible(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:23:53,27-11-2025 22:23:53,"0,375s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:23:53,27-11-2025 22:23:55,"2,017s",PASSED
"setText(findTestObject(""Page_DEMOQA/input_(10 Digits)_userNumber""), MobileNumber)",Chrome 142.0.7444.176,,,27-11-2025 22:23:55,27-11-2025 22:23:56,"1,049s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:23:56,27-11-2025 22:23:58,"2,017s",PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), 0)",Chrome 142.0.7444.176,,,27-11-2025 22:23:58,27-11-2025 22:23:58,"0,302s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:23:58,27-11-2025 22:24:00,"2,027s",PASSED
"scrollToElement(findTestObject(""Page_DEMOQA/button_Submit""), 100)",Chrome 142.0.7444.176,,,27-11-2025 22:24:00,27-11-2025 22:24:01,"0,320s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:24:01,27-11-2025 22:24:03,"2,025s",PASSED
"verifyElementVisible(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""), STOP_ON_FAILURE)",Chrome 142.0.7444.176,,,27-11-2025 22:24:03,27-11-2025 22:24:03,"0,339s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:24:03,27-11-2025 22:24:05,"2,017s",PASSED
"click(findTestObject(""Object Repository/Page_DEMOQA/button_Submit""))",Chrome 142.0.7444.176,,,27-11-2025 22:24:05,27-11-2025 22:24:06,"0,566s",PASSED
delay(2),Chrome 142.0.7444.176,,,27-11-2025 22:24:06,27-11-2025 22:24:08,"2,026s",PASSED
